Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
4.4354,1.6,0.2252,0.6176,0.0004,0.0534,1.2374,0.0989,0.0003,0.006,0.104,0.173,0.388,4.8824,0.0166,0.1739,0.503,5.1272
4.4354,1.65,0.2978,0.5781,0.0003,0.0319,1.1445,0.1588,0.0003,0.0031,0.826,0.852,0.32,4.3729,0.0293,0.0978,0.4979,4.7592
4.4354,1.7,0.3253,0.5654,0.0009,0.0335,1.0389,0.1566,0.0003,0.0011,0.101,0.17,0.24,4.0696,0.1485,0.2184,0.4649,4.2982
4.4354,1.75,0.2826,0.5755,0.0008,0.0457,1.0541,0.113,0.0003,0.0005,0.206,0.264,0.304,4.0096,0.1056,0.169,0.3171,4.2378
4.4354,1.8,0.1337,0.572,0.0009,0.0364,1.1407,0.0666,0.0003,0.0024,0.206,0.089,0.273,3.8526,0.0941,0.0486,0.0452,4.0783
4.4354,1.85,0.1856,0.566,0.0006,0.0127,1.071,0.04,0.0002,0.0044,0.102,0.0,0.387,3.7172,0.1158,0.0574,0.2876,3.9473
4.4354,1.9,0.239,0.5701,0.0002,0.0227,0.9862,0.061,0.0002,0.0056,0.0,0.089,0.295,3.7725,0.1623,0.0606,0.1447,3.9669
4.4354,1.95,0.1821,0.5892,0.0005,0.0475,1.058,0.078,0.0002,0.0021,0.204,0.179,0.301,3.6023,0.1076,0.1207,0.2313,3.8378
4.4354,2.0,0.1286,0.5872,0.001,0.0461,1.0781,0.0557,0.0002,0.0005,0.204,0.18,0.315,3.6546,0.2003,0.1427,0.1234,3.8902
4.4354,2.05,0.107,0.5505,0.0005,0.0287,1.019,0.0736,0.0002,0.002,0.102,0.091,0.39,3.713,0.2088,0.0642,0.2806,3.9297
4.4354,2.1,0.1086,0.5712,0.0006,0.0314,0.9884,0.0253,0.0002,0.001,0.102,0.091,0.358,3.6121,0.1459,0.0735,0.0263,3.8129
4.4354,2.15,0.0844,0.5781,0.0008,0.0528,1.0277,0.048,0.0002,0.0008,0.614,0.0,0.31,3.632,0.1844,0.0583,0.1521,3.8894
4.4354,2.2,0.1257,0.542,0.0008,0.048,1.0025,0.0057,0.0002,0.001,0.509,0.092,0.272,3.6581,0.2647,0.0763,0.1611,3.8913
4.4354,2.25,0.1779,0.5502,0.0004,0.0448,0.8353,0.0555,0.0002,0.001,0.102,0.093,0.324,3.1777,0.1858,0.0877,0.0368,3.3619
4.4354,2.3,0.3151,0.5486,0.0018,0.0695,0.7996,0.0225,0.0002,0.0011,0.203,0.094,0.316,3.0354,0.1871,0.0306,0.0644,3.2324
4.4354,2.35,0.4211,0.5676,0.0015,0.0682,0.8846,0.0569,0.0002,0.0022,0.0,0.094,0.305,2.6811,0.2374,0.0486,0.0565,2.9397
4.4354,2.4,0.432,0.561,0.001,0.0662,0.8736,0.0561,0.0001,0.0031,0.305,0.0,0.317,2.7882,0.099,0.0301,0.0333,3.0416
4.4354,2.45,0.461,0.5602,0.0007,0.0677,0.8285,0.0532,0.0001,0.0039,0.102,0.0,0.299,3.1037,0.2799,0.0294,0.0527,3.3219
4.4354,2.5,0.5112,0.5478,0.0012,0.0429,0.9256,0.0294,0.0001,0.0075,0.102,0.096,0.299,2.7563,0.2251,0.0322,0.0351,3.0299
5.1868,1.15,2.4441,0.7072,0.0005,0.0649,1.098,0.2418,0.0,0.0115,0.107,2.7,0.463,8.8814,0.1458,2.5022,4.5454,11.0036
5.1868,1.2,1.3306,0.7471,0.0009,0.0317,1.1499,0.1689,0.0,0.008,0.514,1.239,0.472,7.3186,0.2738,0.8911,0.7488,7.7907
5.1868,1.25,1.0106,0.7277,0.0006,0.0382,1.2141,0.1978,0.0,0.0133,0.104,0.662,0.353,6.6986,0.2992,0.3311,1.0059,7.0514
5.1868,1.3,0.895,0.6943,0.001,0.0382,1.1687,0.2614,0.0,0.0013,0.52,0.423,0.264,5.676,0.3459,0.1479,0.6367,6.0001
5.1868,1.35,0.8421,0.675,0.0022,0.0397,1.1816,0.2683,0.0,0.007,0.104,0.338,0.25,5.5285,0.4441,0.2573,0.9154,5.8726
5.1868,1.4,0.7981,0.6188,0.0013,0.0505,1.1464,0.1327,0.0,0.0077,0.418,0.167,0.3,5.2172,0.2364,0.2248,0.1378,5.4765
5.1868,1.45,0.5404,0.5554,0.0014,0.04,1.1201,0.0153,0.0,0.0093,1.052,0.57,0.34,5.6099,0.1898,0.073,1.294,6.0491
5.1868,1.5,0.3786,0.5849,0.0003,0.0244,1.1482,0.0201,0.0,0.0064,0.803,0.245,0.301,5.4331,0.3849,0.2164,0.4753,5.7044
5.1868,1.55,0.2667,0.595,0.0006,0.0334,1.0342,0.0536,0.0,0.0023,0.104,1.117,0.277,4.8267,0.3301,0.1561,0.404,5.1408
5.1868,1.6,0.2316,0.5837,0.0011,0.0606,0.9195,0.0362,0.0,0.0014,0.207,0.172,0.3,4.3961,0.1773,0.1195,0.0591,4.5587
5.1868,1.65,0.2453,0.5345,0.0004,0.0471,0.9331,0.0745,0.0,0.0005,0.93,0.763,0.34,4.5875,0.0406,0.1351,0.4609,4.9056
5.1868,1.7,0.3209,0.5077,0.0008,0.0126,1.0004,0.1339,0.0,0.0023,0.503,0.169,0.268,4.3793,0.1817,0.1027,0.481,4.6028
5.1868,1.75,0.3033,0.5069,0.0011,0.0148,1.0801,0.1343,0.0001,0.003,0.207,0.087,0.329,4.1926,0.1871,0.1401,0.1881,4.4
5.1868,1.8,0.2779,0.5262,0.0007,0.0484,1.0358,0.1532,0.0001,0.0009,0.514,0.0,0.335,3.949,0.1317,0.1061,0.1111,4.1791
